NOM_FROMAGE,LAIT
Cantal,vache
Fourme d’Ambert,vache
Saint-Nectaire,vache
Salers,vache
Bleu du Vercors-Sassenage,vache
Fourme de Montbrison,vache
Picodon,chèvre
Rigotte de Condrieu,chèvre
Abondance,vache
Beaufort,vache
Chevrotin,chèvre
Reblochon,vache
Tome des Bauges,vache
Bleu de Gex Haut-Jura,vache
Chaource,vache
Charolais,chèvre
Comté,vache
Époisses,vache
Mâconnais,chèvre
Mont d'Or,vache
Morbier,vache
Banon,chèvre
Brousse du Rove,chèvre
Brocciu,chèvre et/ou de brebis
Bleu des Causses,vache
Laguiole,vache
Pélardon,chèvre
Rocamadour,chèvre
Roquefort,brebis
Chabichou du Poitou,chèvre
Ossau-Iraty,brebis
Crottin de Chavignol,chèvre
Pouligny Saint-Pierre,chèvre
Sainte-Maure de Touraine,chèvre
Selles-sur-Cher,chèvre
Valençay,chèvre
Camembert de Normandie,vache
Livarot,vache
Neufchâtel,vache
Pont-l’Évêque,vache
Maroilles,vache
Brie de Melun,vache
Brie de Meaux,vache
Langres,vache
Munster,vache
