('Cantal', 'vache')
('Fourme d’Ambert', 'vache')
('Saint-Nectaire','lait de vache')
('Salers','lait de vache')
('Bleu du Vercors-Sassenage','lait de vache')
('Fourme de Montbrison','lait de vache')
('Picodon', 'lait de chèvre')
('Rigotte de Condrieu', 'lait de chèvre')
('Abondance','lait de vache')
('Beaufort','lait de vache')
('Chevrotin','lait de chèvre')
('Reblochon','lait de vache')
('Tome des Bauges','lait de vache')
('Bleu de Gex Haut-Jura','lait de vache')
('Chaource','lait de vache')
('Charolais','lait de chèvre')
('Comté','lait de vache')
('Époisses','lait de vache')
('Mâconnais','lait de chèvre')
('Mont d\'Or' ,'lait de vache')
('Morbier','lait de vache')
('Banon','lait de chèvre')
('Brousse du Rove','lait de chèvre')
('Brocciu','lait de chèvre et/ou de brebis')
('Bleu des Causses','lait de vache')
('Laguiole','lait de vache')
('Pélardon','lait de chèvre')
('Rocamadour','lait de chèvre')
('Roquefort','lait de brebis')
('Chabichou du Poitou','lait de chèvre')
('Ossau-Iraty','lait de brebis')
('Crottin de Chavignol','lait de chèvre')
('Pouligny Saint-Pierre','lait de chèvre')
('Sainte-Maure de Touraine','lait de chèvre')
('Selles-sur-Cher','lait de chèvre')
('Valençay','lait de chèvre')
('Camembert de Normandie','lait de vache')
('Livarot','lait de vache')
('Neufchâtel','lait de vache')
('Pont-l’Évêque','lait de vache')
('Maroilles','lait de vache')
('Brie de Melun','lait de vache')
('Brie de Meaux','lait de vache')
('Langres','lait de vache')
('Munster','lait de vache')
